FID	IID	PHENO
NA18525	NA18525	-0.9299163957514752
NA18526	NA18526	1.1343096355008717
NA18528	NA18528	0.9817260570982834
NA18530	NA18530	1.1706178339896693
NA18531	NA18531	-0.6329726035003104
NA18532	NA18532	0.014372794734507477
NA18533	NA18533	0.6171655066211282
NA18534	NA18534	1.8360392569199226
NA18535	NA18535	1.0261957394632968
NA18536	NA18536	2.511027194123918
NA18537	NA18537	1.7944405451659775
NA18538	NA18538	3.017036111230331
NA18539	NA18539	0.4976590740840476
NA18541	NA18541	1.7885505680678473
NA18542	NA18542	-0.38688517054889027
NA18543	NA18543	1.0294972053689917
NA18544	NA18544	0.18299947662637217
NA18545	NA18545	0.747414215095111
NA18546	NA18546	0.5716539551249733
NA18547	NA18547	0.5200952220085979
NA18548	NA18548	0.7398659179559763
NA18549	NA18549	0.5246406543201261
NA18550	NA18550	1.6008040792420364
NA18552	NA18552	-0.609256871390387
NA18553	NA18553	0.5238488054037194
NA18555	NA18555	0.7196500701263286
NA18557	NA18557	0.5884111215985013
NA18558	NA18558	0.9432079301988568
NA18559	NA18559	-1.1732127496134759
NA18560	NA18560	0.9744823448961721
NA18561	NA18561	0.8411552646936515
NA18562	NA18562	1.2478428917831796
NA18563	NA18563	0.8258213798604863
NA18564	NA18564	0.8058884130416026
NA18565	NA18565	0.9289630347839122
NA18566	NA18566	-1.0474022340638083
NA18567	NA18567	1.127097022131183
NA18570	NA18570	1.8820267810762008
NA18571	NA18571	1.2042235214433283
NA18572	NA18572	0.7468728769912727
NA18573	NA18573	0.2696229039717521
NA18574	NA18574	0.33973267690242337
NA18577	NA18577	0.9109084956382419
NA18579	NA18579	0.8048327920703104
NA18582	NA18582	2.7678428556111756
NA18591	NA18591	1.4770625538175852
NA18592	NA18592	1.6506683330260494
NA18593	NA18593	0.4181646293685048
NA18595	NA18595	0.04660154772469344
NA18596	NA18596	1.6941056251604318
NA18597	NA18597	0.6669010240157869
NA18599	NA18599	0.9293176346139521
NA18602	NA18602	0.8901502575940741
NA18603	NA18603	0.46363262904173463
NA18605	NA18605	0.28396829272417495
NA18606	NA18606	-0.33235598880536255
NA18608	NA18608	1.3330894605191397
NA18609	NA18609	1.2123437108546429
NA18610	NA18610	2.2390984177385707
NA18611	NA18611	0.5520675033045772
NA18612	NA18612	0.5850902675623803
NA18613	NA18613	-0.45029951570032933
NA18614	NA18614	0.4747716793146106
NA18615	NA18615	0.9147267746972184
NA18616	NA18616	-0.1559825241372249
NA18617	NA18617	-1.391813860513982
NA18618	NA18618	1.8289005132860867
NA18619	NA18619	0.7987446630490674
NA18620	NA18620	0.3851777964716407
NA18621	NA18621	-0.07981714128733891
NA18622	NA18622	1.021723981015361
NA18623	NA18623	0.02343201890586187
NA18624	NA18624	0.42946362596144955
NA18625	NA18625	1.782716956413541
NA18626	NA18626	-0.762672370951822
NA18627	NA18627	-0.8526471916659958
NA18628	NA18628	1.6471962068985704
NA18629	NA18629	1.3476256130097335
NA18630	NA18630	0.011402675394068362
NA18631	NA18631	0.3915452945007959
NA18632	NA18632	1.1885574146189626
NA18633	NA18633	1.1098077971990339
NA18634	NA18634	2.4363614316649937
NA18635	NA18635	1.3984198171979103
NA18636	NA18636	0.46043719285017437
NA18637	NA18637	0.3142869469746242
NA18638	NA18638	1.6509312738901403
NA18639	NA18639	2.236026952482679
NA18640	NA18640	1.0493728250097787
NA18641	NA18641	0.7603800609243626
NA18642	NA18642	-0.043301290122823854
NA18643	NA18643	1.1134484634784547
NA18644	NA18644	1.2616071160845916
NA18645	NA18645	0.44366794428635564
NA18646	NA18646	0.9104710297838644
NA18647	NA18647	-0.5143739272433776
NA18648	NA18648	0.5729458281359754
NA18740	NA18740	2.192260725595973
NA18745	NA18745	1.849489579169136
NA18747	NA18747	1.7789419135405555
NA18748	NA18748	-0.7785076745292185
NA18749	NA18749	2.11257778533042
NA18757	NA18757	0.8223577078815497
